name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?
Sneha Patil,31,Male,Rural,2020,Not able to vote,Even before announcement of candidates,No response,BJP,No good alternative,Friends/neighbors,Other,Not at all,Yes,Worse,5,Economy,No,Yes,Yes,1,Employment opportunities,Statement 1: Promotes development,Priyanka Gandhi
Sneha Patil,31,Male,Rural,2021,Able to vote,No response,Party,BSP,No response,Family member,Did not have necessary documents,Not at all,Did not respond,Remained same,1,Healthcare,Yes,No,Don't know,5,Employment opportunities,Statement 2: Important for the same party to remain,Narendra Modi
Sneha Patil,31,Male,Rural,2022,Not able to vote,After announcement of candidates,PM candidate,Not sure,No response,"No one, I voted on my own",Other,Not at all,No,Remained same,3,National Security,Not sure,Yes,Don't know,2,Modi's leadership,Statement 1: Promotes development,Rahul Gandhi
Sneha Patil,31,Male,Rural,2023,Able to vote,A day or two before voting,Candidate,INC,Really wanted to vote,Caste/community leader,Was not in village/city,No response,Don't know,Remained same,4,Economy,Not sure,Yes,Don't know,1,Other,Statement 2: Important for the same party to remain,Rahul Gandhi
Sneha Patil,31,Male,Rural,2024,Not able to vote,Even before announcement of candidates,No response,Not sure,No good alternative,Friends/neighbors,Other,Not at all,Don't know,Worse,4,Education,Not sure,No,Don't know,1,Other,Statement 2: Important for the same party to remain,Priyanka Gandhi
Sneha Patil,31,Male,Rural,2025,Able to vote,On the day of voting,Candidate,INC,No good alternative,Other,Was ill,No response,No,Worse,5,Education,Yes,Yes,Yes,3,Other,Statement 2: Important for the same party to remain,No response
sandeep Bhatia,28,Male,Rural,2020,Able to vote,On the day of voting,PM candidate,INC,No response,Family member,Other,No response,Yes,Remained same,4,Healthcare,Not sure,Yes,Don't know,1,Global image,Statement 2: Important for the same party to remain,Other
sandeep Bhatia,28,Male,Rural,2021,Not able to vote,A day or two before voting,Party,Not sure,No good alternative,"No one, I voted on my own",No response,Somewhat,Yes,Much better,2,Healthcare,Yes,Yes,No,2,Other,No response,Narendra Modi
sandeep Bhatia,28,Male,Rural,2022,Able to vote,After announcement of candidates,No response,BJP,Really wanted to vote,"No one, I voted on my own",Other,No response,No,No response,5,Education,Yes,Yes,Don't know,5,Global image,Statement 1: Promotes development,No response
sandeep Bhatia,28,Male,Rural,2023,Able to vote,On the day of voting,Party,INC,Really wanted to vote,Friends/neighbors,Was ill,Great deal,Yes,Much worse,1,Other,Yes,No,Don't know,4,Other,Statement 1: Promotes development,Priyanka Gandhi
sandeep Bhatia,28,Male,Rural,2024,Not able to vote,A day or two before voting,No response,BJP,No response,Friends/neighbors,Was not in village/city,Somewhat,No,Better,2,Economy,Not sure,No,Don't know,5,Improving infrastructure,Statement 2: Important for the same party to remain,Priyanka Gandhi
sandeep Bhatia,28,Male,Rural,2025,Not able to vote,No response,No response,BSP,No good alternative,Don't know,Did not feel like voting,Somewhat,Don't know,Worse,2,National Security,Not sure,Yes,Don't know,1,Reducing poverty,Statement 1: Promotes development,Priyanka Gandhi
Suresh Gupta,57,Female,Suburban,2020,Able to vote,No response,PM candidate,BSP,No good alternative,"No one, I voted on my own",Other,Not at all,Did not respond,Much worse,4,Education,No,No,Don't know,5,Other,Statement 1: Promotes development,Arvind Kejriwal
Suresh Gupta,57,Female,Suburban,2021,Able to vote,A day or two before voting,Candidate,Not sure,No response,Caste/community leader,Other,Not at all,Yes,Much better,3,Healthcare,Yes,Yes,No,3,Global image,No response,Other
Suresh Gupta,57,Female,Suburban,2022,Able to vote,No response,Party,Not sure,No good alternative,Friends/neighbors,Did not feel like voting,Great deal,Yes,Better,4,Healthcare,Not sure,Yes,Yes,4,Modi's leadership,Statement 2: Important for the same party to remain,Rahul Gandhi
Suresh Gupta,57,Female,Suburban,2023,Not able to vote,During the campaign,Party,BSP,No good alternative,Other,Other,No response,Did not respond,Much worse,4,Education,Not sure,Yes,Don't know,2,Global image,Statement 2: Important for the same party to remain,Priyanka Gandhi
