name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?,What do you think is the most important challenge facing the country today?,Share your thoughts on the current government's performance.,What is your opinion on Narendra Modi's leadership?
Sneha Patil,31,Male,Rural,2020,Not able to vote,Even before announcement of candidates,No response,BJP,No good alternative,Friends/neighbors,Other,Not at all,Yes,Worse,5,Economy,No,Yes,Yes,1,Employment opportunities,Statement 1: Promotes development,Narendra Modi,The lack of job security in the gig economy is troubling.,Corruption scandals are less frequent but not eradicated.,Criticism on freedom of speech has grown under his tenure.
Sneha Patil,31,Male,Rural,2021,Able to vote,No response,Party,BJP,No response,Family member,No response,Not at all,Did not respond,Remained same,1,Healthcare,Yes,No,Don't know,5,Employment opportunities,Statement 2: Important for the same party to remain,Narendra Modi,Poverty alleviation programs are not reaching the grassroots.,Skill development initiatives are showing results slowly.,Digital India is one of his landmark achievements.
Sneha Patil,31,Male,Rural,2022,Not able to vote,After announcement of candidates,PM candidate,Not sure,No response,"No one, I voted on my own",Other,Not at all,No,Remained same,3,National Security,Not sure,Yes,Don't know,2,Modi's leadership,Statement 1: Promotes development,Rahul Gandhi,Rising inflation is affecting middle-class families heavily.,Technology integration in governance is appreciated.,His leadership is visionary but divisive at times.
Sneha Patil,31,Male,Rural,2023,Able to vote,A day or two before voting,Candidate,INC,Really wanted to vote,Caste/community leader,No response,No response,Don't know,Remained same,4,Economy,Not sure,Yes,Don't know,1,Other,Statement 2: Important for the same party to remain,Rahul Gandhi,Rising inflation is affecting middle-class families heavily.,Education initiatives are underfunded and overlooked.,His leadership is visionary but divisive at times.
Sneha Patil,31,Male,Rural,2024,Not able to vote,Even before announcement of candidates,No response,Not sure,No good alternative,Friends/neighbors,Other,Not at all,Don't know,Worse,4,Education,Not sure,No,Don't know,1,Other,Statement 2: Important for the same party to remain,Priyanka Gandhi,Agriculture reforms are needed for farmer sustainability.,Ease of doing business has improved visibly.,His governance style is centralized but effective.
Sneha Patil,31,Male,Rural,2025,Able to vote,On the day of voting,Candidate,INC,No good alternative,Other,No response,No response,No,Worse,5,Education,Yes,Yes,Yes,3,Other,Statement 2: Important for the same party to remain,No response,Access to quality education is a significant concern.,Healthcare schemes are ambitious but lack execution.,Modi has brought India global recognition like never before.
sandeep Bhatia,28,Male,Rural,2020,Able to vote,On the day of voting,PM candidate,INC,No response,Family member,No response,No response,Yes,Remained same,4,Healthcare,Not sure,Yes,Don't know,1,Global image,Statement 2: Important for the same party to remain,Other,Accessibility for the differently-abled is often ignored.,Social harmony remains a challenge for this government.,Agricultural reforms under him are controversial but necessary.
sandeep Bhatia,28,Male,Rural,2021,Not able to vote,A day or two before voting,Party,Not sure,No good alternative,"No one, I voted on my own",No response,Somewhat,Yes,Much better,2,Healthcare,Yes,Yes,No,2,Other,No response,Narendra Modi,The lack of job security in the gig economy is troubling.,Corruption scandals are less frequent but not eradicated.,The handling of economic crises is his weak point.
sandeep Bhatia,28,Male,Rural,2022,Able to vote,After announcement of candidates,No response,BJP,Really wanted to vote,"No one, I voted on my own",No response,No response,No,No response,5,Education,Yes,Yes,Don't know,5,Global image,Statement 1: Promotes development,Narendra Modi,The disparity in healthcare costs is concerning.,Ease of doing business has improved visibly.,Modi has brought India global recognition like never before.
sandeep Bhatia,28,Male,Rural,2023,Able to vote,On the day of voting,Party,INC,Really wanted to vote,Friends/neighbors,No response,Great deal,Yes,Much worse,1,Other,Yes,No,Don't know,4,Other,Statement 1: Promotes development,Priyanka Gandhi,Corruption is still pervasive in many sectors.,"Defense upgrades are a good move, but expensive.",He has set a high bar for future leadership.
